代码,名称,留档价格,留档涨跌幅(%),评分,推荐,风险等级,买入信号数,卖出信号数,活跃战法数,共振评分,留档时间,现价,现涨跌幅(%),价格变动(%),是否偏差,可靠性,topSignals
sz000776,广发证券,24.8600,6.24,7,买入,高,5,1,6,9,2026-07-02 00:05:22,23.7800,-4.34,-4.34,是,偏差,▲均线多头排列  ▲KDJ金叉
sh603648,畅联股份,8.8800,3.50,7,买入,低,2,0,6,8,2026-07-02 00:05:22,8.9800,1.13,1.13,否,合理,▲启明星  ▲MA10上穿MA20
sz002643,万润股份,21.8200,4.15,7,买入,高,3,1,6,9,2026-07-02 00:05:22,21.0000,-3.76,-3.76,是,偏差,▲均线多头排列  ▼趋势强度强劲
sh601678,滨化股份,7.0000,6.22,7,买入,高,6,1,6,9,2026-07-02 00:05:22,7.7000,10.00,10.00,否,合理,▲均线多头排列  ▲三阳开泰
sz002500,山西证券,5.3700,4.07,7,买入,低,4,1,6,9,2026-07-02 00:05:22,5.3800,0.19,0.19,否,合理,▲三阳开泰  ▲KDJ金叉
sh600999,招商证券,22.9400,8.72,7,买入,高,6,1,6,9,2026-07-02 00:05:22,21.7000,-5.41,-5.41,是,偏差,▲均线多头排列  ▲KDJ金叉
sz002603,以岭药业,15.3500,2.33,7,买入,中等,4,1,2,10,2026-07-02 00:05:22,15.4500,0.65,0.65,否,合理,▲MACD底背离  ▼MA5下穿MA10
sh605116,奥锐特,19.7600,4.44,7,买入,低,5,0,2,10,2026-07-02 00:05:22,20.2000,2.23,2.23,否,合理,▲MACD底背离  ▲阳包阴
sz000739,普洛药业,17.1900,3.18,7,买入,低,4,1,6,9,2026-07-02 00:05:22,17.7400,3.20,3.20,否,合理,▲MACD底背离  ▲阳包阴
sz000756,新华制药,14.7200,3.88,7,买入,中等,3,1,4,9,2026-07-02 00:05:22,14.7800,0.41,0.41,否,合理,▲趋势突破上轨  ▼趋势强度强劲
sh601377,兴业证券,6.2700,3.81,7,买入,低,7,1,10,9,2026-07-02 00:05:22,6.1300,-2.23,-2.23,是,偏差,▲均线多头排列  ▲MA5上穿MA10
sh600211,西藏药业,38.3800,2.65,7,买入,低,4,1,2,9,2026-07-02 00:05:22,38.5200,0.36,0.36,否,合理,▲MACD底背离  ▲阳包阴
sh600584,长电科技,106.6400,2.98,7,买入,高,4,1,6,9,2026-07-02 00:05:22,95.9800,-10.00,-10.00,是,偏差,▲均线多头排列  ▲三阳开泰
sh600160,巨化股份,55.8500,5.36,7,买入,高,3,1,6,9,2026-07-02 00:05:22,54.8300,-1.83,-1.83,是,偏差,▲均线多头排列  ▼趋势强度强劲
sh600707,彩虹股份,17.6600,4.56,7,买入,高,5,1,6,9,2026-07-02 00:05:22,16.6900,-5.49,-5.49,是,偏差,▲均线多头排列  ▲三阳开泰
sh600918,中泰证券,5.5000,3.38,7,买入,低,2,0,4,10,2026-07-02 00:05:22,5.4400,-1.09,-1.09,是,偏差,▲阳包阴  ▲KDJ金叉
sh601066,中信建投,30.0100,3.23,8,强烈买入,低,6,1,8,9,2026-07-02 00:05:22,28.3700,-5.46,-5.46,是,偏差,▲均线多头排列  ▲阳包阴
sz000686,东北证券,8.7500,4.17,8,强烈买入,低,5,1,6,9,2026-07-02 00:05:22,8.5200,-2.63,-2.63,是,偏差,▲阳包阴  ▲启明星
sh600030,中信证券,29.4700,2.58,8,强烈买入,低,5,1,6,9,2026-07-02 00:05:22,28.6200,-2.88,-2.88,是,偏差,▲均线多头排列  ▲三阳开泰
sh601688,华泰证券,21.6400,4.95,8,强烈买入,低,6,1,10,9,2026-07-02 00:05:22,21.0300,-2.82,-2.82,是,偏差,▲均线多头排列  ▲阳包阴
sh603281,江瀚新材,41.2000,1.40,8,强烈买入,低,4,0,10,9,2026-07-02 00:05:22,40.1200,-2.62,-2.62,是,偏差,▲均线多头排列  ▼趋势强度强劲
